,province,city,district,county,street,community,show_address,cnt_inc_uncertain,cnt_inc_certain,cnt_inc_die,cnt_inc_recure,cnt_sum_uncertain,cnt_sum_certain,cnt_sum_die,cnt_sum_recure,full_address,lng,lat,source,distance
68,安徽省,阜阳市,临泉县,临泉县,城东街道,,城东街道,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县城东街道,115.276657,33.062939,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
69,安徽省,阜阳市,临泉县,临泉县,,,城南新区,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市临泉县城南新区,115.268089,33.03616,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
70,安徽省,阜阳市,临泉县,临泉县,,,白庙镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县白庙镇,115.091316,33.069729,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
71,安徽省,阜阳市,临泉县,临泉县,,,迎仙镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县迎仙镇,115.161034,32.920349,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
72,安徽省,阜阳市,临泉县,临泉县,,,韦寨镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县韦寨镇,115.215431,32.975689,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
73,安徽省,阜阳市,临泉县,临泉县,城关街道,,城关街道,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县城关街道,115.260643,33.067829,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
74,安徽省,阜阳市,临泉县,临泉县,,,城南街道,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县城南街道,115.276657,33.062939,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
75,安徽省,阜阳市,临泉县,临泉县,,,张营乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县张营乡,115.203438,33.068611,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
76,安徽省,阜阳市,临泉县,临泉县,,,庞营乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市临泉县庞营乡,114.987862,33.049549,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
77,安徽省,阜阳市,太和县,太和县,,,原墙镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市太和县原墙镇,115.737419,33.29591,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
78,安徽省,阜阳市,太和县,太和县,,,城关镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市太和县城关镇,115.623489,33.17091,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
79,安徽省,阜阳市,太和县,太和县,,,马集乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市太和县马集乡,115.624672,33.349049,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
80,安徽省,阜阳市,太和县,太和县,,,税镇镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市太和县税镇镇,115.481491,33.226871,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
81,安徽省,阜阳市,阜南县,阜南县,,,新村镇,-1,-1,-1,-1,-1,5,-1,-1,安徽省阜阳市阜南县新村镇,115.524788,32.858589,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
82,安徽省,阜阳市,阜南县,阜南县,,,朱寨镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市阜南县朱寨镇,115.881042,32.734852,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
83,安徽省,阜阳市,阜南县,阜南县,,,柴集镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市阜南县柴集镇,115.599503,32.814362,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
84,安徽省,阜阳市,阜南县,阜南县,,,王店孜乡,-1,-1,-1,-1,-1,7,-1,-1,安徽省阜阳市阜南县王店孜乡,115.533867,32.79491,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
85,安徽省,阜阳市,阜南县,阜南县,,,赵集镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市阜南县赵集镇,115.545219,32.699451,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
86,安徽省,阜阳市,阜南县,阜南县,,,郜台乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市阜南县郜台乡,115.885963,32.57016,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
87,安徽省,阜阳市,阜南县,阜南县,,,鹿城镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市阜南县鹿城镇,115.588661,32.633339,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
88,安徽省,阜阳市,阜南县,阜南县,,,王家坝镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市阜南县王家坝镇,115.633057,32.416828,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
89,安徽省,阜阳市,阜南县,阜南县,,,王店乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市阜南县王店乡,115.59319,32.65887,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
90,安徽省,阜阳市,阜南县,阜南县,,,洪河桥镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省阜阳市阜南县洪河桥镇,115.518501,32.474541,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
91,安徽省,阜阳市,颍上县,颍上县,,,半岗镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍上县半岗镇,116.203651,32.501461,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
92,安徽省,阜阳市,颍上县,颍上县,,,建颍乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍上县建颍乡,116.223289,32.74176,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
93,安徽省,阜阳市,颍上县,颍上县,,,新集镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍上县新集镇,116.110283,32.75322,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
94,安徽省,阜阳市,颍上县,颍上县,,,夏桥镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍上县夏桥镇,116.366539,32.644058,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
95,安徽省,阜阳市,颍东区,,,向阳街道办事处,向阳街道办事处,-1,-1,-1,-1,-1,6,-1,-1,安徽省阜阳市颍东区向阳街道办事处,115.862343,32.903809,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
96,安徽省,阜阳市,颍东区,,,,正午镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍东区正午镇,115.980217,32.919121,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
97,安徽省,阜阳市,颍东区,,,河东街道办事处,河东街道办事处,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍东区河东街道办事处,115.857613,32.913589,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
98,安徽省,阜阳市,颍州区,,,,三合镇,-1,-1,-1,-1,-1,3,-1,-1,安徽省阜阳市颍州区三合镇,115.71582,32.856758,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
99,安徽省,阜阳市,颍州区,,,文峰办事处,文峰办事处,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍州区文峰办事处,115.814049,32.88905,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
100,安徽省,阜阳市,颍州区,,,汇鑫小区,汇鑫小区,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍州区汇鑫小区,115.801964,32.89959,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
